Episode no = 1560; won: False; Q(s,a) = 95.99068647795279; reward = -456.0; and epsilon = 0.792, win percentage = 0.0, 2024-05-06 07:37:39
Episode no = 1570; won: False; Q(s,a) = 93.14847385720999; reward = -253.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2024-05-06 07:38:01
Episode no = 1580; won: False; Q(s,a) = 91.97401221523222; reward = -506.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2024-05-06 07:38:16
Episode no = 1590; won: False; Q(s,a) = 86.85139197561898; reward = -420.0; and epsilon = 0.788, win percentage = 0.0, 2024-05-06 07:38:36
Episode no = 1600; won: False; Q(s,a) = 120.458560069248; reward = -446.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-05-06 07:38:55
Episode no = 1610; won: False; Q(s,a) = 108.23197132544928; reward = -464.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2024-05-06 07:39:13
Episode no = 1620; won: False; Q(s,a) = 110.31959775857408; reward = -390.0; and epsilon = 0.784, win percentage = 0.0, 2024-05-06 07:39:36
Episode no = 1630; won: False; Q(s,a) = 99.27000048635608; reward = -281.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2024-05-06 07:39:59
Episode no = 1640; won: False; Q(s,a) = 96.68601809852375; reward = -478.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2024-05-06 07:40:13
Episode no = 1650; won: False; Q(s,a) = 94.12078335370572; reward = -424.0; and epsilon = 0.78, win percentage = 0.0, 2024-05-06 07:40:30
Episode no = 1660; won: False; Q(s,a) = 100.9909553686613; reward = -444.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2024-05-06 07:40:41
Episode no = 1670; won: False; Q(s,a) = 113.87476777193191; reward = -428.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2024-05-06 07:41:01
Episode no = 1680; won: False; Q(s,a) = 103.00963525538236; reward = -375.0; and epsilon = 0.776, win percentage = 0.0, 2024-05-06 07:41:24
Episode no = 1690; won: False; Q(s,a) = 104.9923610240687; reward = -308.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2024-05-06 07:41:38
Episode no = 1700; won: False; Q(s,a) = 108.90302851519128; reward = -457.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-05-06 07:41:48
Episode no = 1710; won: False; Q(s,a) = 115.37852508392173; reward = -179.0; and epsilon = 0.772, win percentage = 0.0, 2024-05-06 07:42:08
Episode no = 1720; won: False; Q(s,a) = 113.52291534645494; reward = -405.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2024-05-06 07:42:25
Episode no = 1730; won: False; Q(s,a) = 112.84825882109712; reward = -370.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2024-05-06 07:42:55
Episode no = 1740; won: False; Q(s,a) = 142.18860745347158; reward = -468.0; and epsilon = 0.768, win percentage = 0.0, 2024-05-06 07:43:05
Episode no = 1750; won: False; Q(s,a) = 108.33378794967996; reward = -372.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2024-05-06 07:43:21
